"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"675","재단법인 신안군장학재단","다문화가정장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","예산범위내","고등교육법 제2조에 따른 국내대학 재학생다문화 가정의 자녀","부 또는 모(친권자)와 학생 본인이 공고일 현재 신안군에 6개월 이상 주민등록되어 있는 대학생","소득 평가 100%(경제적으로 어려운 저소득 계층을 우선적으로 선정)","예산범위 내 탄력운영","타 기관에서 지원받은 장학금 총액이 등록금을 초과하거나 장학금과 등록금과의 차액이 20만원 미만국가 등으로부터 학비 등을 지원받는 학교평생교육법에 의한 사이버대학(원격대학)/ 사내대학매학기 등록금 총액이 50만원 이하정규 학제 기간 초과하여 재학 중인 자중복 신청자대학원생직장인","해당없음","장학금신청서신청인서약서개인정보 수집·이용 및 제공·조회 동의서주민등록 등본가족관계증명서재학증명서통장사본혼인관계증명서(상세)건강보험료납부확인서 및 건강보험자격확인서국민기초생활수급자 및 차상위계층 증명서 (해당자) * 자세한 사항은 홈페이지 및 첨부파일 참조","https://www.shinan.go.kr","2023-10-04","2023-10-18"
"676","재단법인 신안군장학재단","위기가정 긴급지원사업","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","예산 범위 내","「긴급복지지원법」제2조에 따른 위기상황이 발생한 가정고등교육법 제2조에 따른 국내대학 재학생군에서 위기가정 긴급지원대상으로 확정한 가정에 한함수시접수","부 또는 모(친권자)와 학생 본인이 공고일 현재 신안군에 6개월 이상 주민등록되어 있는 대학생","군에서 위기가정 긴급지원 대상으로 확정한 가정에 한해 지원","해당자 (선발인원은 예산범위내 탄력운영)","타 기관에서 지원받은 장학금 총액이 등록금을 초과하거나 장학금과 등록금과의 차액이 20만원 미만국가 등으로부터 학비 등을 지원받는 학교평생교육법에 의한 사이버대학(원격대학)/ 사내대학매학기 등록금 총액이 50만원 이하정규 학제 기간 초과하여 재학 중인 자중복 신청자대학원생직장인","해당없음","장학금신청서신청인서약서개인정보 수집·이용 및 제공·조회 동의서주민등록 등본가족관계증명서재학증명서통장사본위기가정 긴급지원 대상 증빙자료 * 자세한 사항은 홈페이지 및 첨부자료 참고","http://www.shinan.go.kr/","2023-05-01","2023-12-01"
"677","재단법인연당장학회","연당장학생","민간(기타)","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","특정학과","직전학기 누계성적 3.3 이상","해당없음","2000000원","2023학년도 2학기 재학 예정 학부생경영대학 학부생학업성적이 우수하고 모범적인 학생","해당없음","해당없음","00명","해당없음","지도교수 추천","장학생추천서장학생신청성적증명서지도교수추천서2022년 지방세 세목별 과제증명서건강보험료 납부확인서 및 건강보험증 사본주민등록등본1부기타 가계곤란증빙서류 * 각 학교 장학부서 공지 참고 필수","해당없음","2023-08-08","2023-08-10"
"678","(재)문봉장학회","문봉장학금","민간(기타)","장학금","기타","특정대학","대학8학기이상","의약계열/특정학과","해당없음","해당없음","등록금 전액/1년","6학년 재학 예정인 이화여자대학교 약학대 학부 정규등록생성적우수자 가계곤란자","해당없음","해당없음","1명","타 장학금 수혜자 지원불가","해당없음","장학금 지급신청서지도교수 추천서주민등록등본 원본2021년 지방세 세목별(토지/주택/건물) 과세증명서 부·모 각1부건강보험증 사본 및 2021년 1~12월 건강보험료 납부확인서타 장학금 신청내역서 성적증명서재학증명서 * 자세한 사항은 이화여자대학교 약학대학 학과홈페이지 내 공고 참조","http://cms.ewha.ac.kr","2022-02-23","2022-03-04"
"679","숭덕육영회","장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/일반대학원/전문대(2~3년제)/전문대학원/제한없음/학점은행제 대학/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적 70% 이상인자","해당없음","해당없음","기숙사 공동생활 가능자정원의 10%(3명) 이내로 서울에 주소지가 있는 학생도 본 법인의 정신과 함께 할 수 있는 학생","지방 출신 남학생으로 서울 소재 대학교에 재학 중인 학부생 또는 대학원생","해당없음","남 30명 (기숙사 생활)","해당없음","해당없음","홈페이지 참고","http://www.sdcnd.org/","2023-01-10","2023-02-08"
"680","(재)제주평생교육장학진흥원","재능장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 최대 2000000원","국내/외 2년제이상 대학교의 학생으로 재학중인 자전국단위 이상의 문화/예술/체육/과학 등의 최근 3년(해당연도 포함) 이내 대회에서 3위 이내 입상자(중앙행정기관 또는 권위있는 기관 주최 행사)","장학금 공고일 현재 신청인(본인) 또는 부모 중 한명이 제주도에 1년 이상 주소를 둔 자현재 학생 또는 그 보호자가 제주도내 주민등록이 되어 있는 자","대회규모(또는 권위) > 순위 > 수상 회수 순 * 장학생선발심사위원회에서 심의선발하여 결정","49명 내외 (초/중/고생 및 대학생 포함한 인원)","2022년도 인재육성장학금을 지원 받은 자2023년도 타 장학금 지원받은 자 및 타 법령에 따른 등록금을 지원 받은 자정학이상의 징계처분을 받았거나 휴학/ 그 밖의 사유로 1학기 이상 학업을 계속하지 아니한 자자격 및 선발기준에 미달하거나 위배되는 자그 밖에 지원을 하지 아니하는 것이 타당하다고 인정되는 자","해당없음","대회 입상 실적 1부 *공통장학금 신청서추천서 (교장 또는 학과장 필수 날인)재학증명서 및 등록금 납부 영수증주소이력이 포함된 본인과 부 또는 모의 주민등록초본 각 1부(총2부)가족관계증명서본인(또는 보호자) 명의의 통장사본성적증명서 1부개인정보 수집·이용·제3자 제공동의서 1부 * 자세한 사항은 첨부파일 참조","http://jiles.or.kr/index.htm","2023-03-02","2023-03-24"
"681","(재)제주평생교육장학진흥원","특별장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","대학생 1명 최대 2000000원 (등록금 범위 내)","농어촌(읍면)지역 고교 졸업생으로 대학교 입학 신입생","학생과 그 보호자가 동시에 제주도내 1년 이상 주민등록이 되어 있었던 자장학금 공고일 현재 신청인(본인) 또는 부모 중 한명이 제주도에 1년 이상 주소를 둔 자","위원회에서 심의된 자 ","10명 내외(대학신입생)","2022년도 인재육성장학금을 지원 받은 자2023년도 타 장학금 지원받은 자 및 타 법령에 따른 등록금을 지원 받은 자정학이상의 징계처분을 받았거나 휴학/ 그 밖의 사유로 1학기 이상 학업을 계속하지 아니한 자자격 및 선발기준에 미달하거나 위배되는 자그 밖에 지원을 하지 아니하는 것이 타당하다고 인정되는 자","제주특별자치도교육청(소속 학교장) 추천","제주인재육성장학금 신청서제주인재육성장학생 추천서개인정보 수집·이용·제3자 제공 동의서학생 주민등록초본부 또는 모 주민등록초본재학증명서성적증명서가족관계증명서통장사본 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://jiles.or.kr/index.htm","2023-03-02","2023-03-24"
"682","재단법인 경주시장학회","일반장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평점 3.6점 (2·3년제 대학 3.8점)이상 인 자","해당없음","2000000원","현재 대학 재학생으로 학장 또는 학과장이 추천한 자","공고일 현재 1년 이상 경주시 관내 거주자(부모 또는 학생)","성적 50% + 생활정도 35%(재산세 본세) + 경주시 거주기간 15% * 자세한 사항은 첨부파일 참고","423명","정규 학제 기간을 초과하여 재학 중인 자공고일 현재 휴학 중 또는 예정이거나 / 정학/ 퇴학 등 징계처분 받은 자1세대 1명 신청 * 자세한 사항은 첨부파일 참조","총장(단과대학장) 또는 읍면동장이 추천한 자 ( * 학부장/ 학과장 추천은 해당안됨)","장학금 지원신청서개인(신용)정보 수집·이용·제공 및 조회 동의서재학증명서직전학기 성적증명서가족관계증명서주민등록초본재산세 (미)과세 증명서추가 증빙서류(해당자) * 자세한 사항은 첨부파일 참조 ","http://janghak.gyeongju.go.kr","2022-09-13","2022-09-27"
"683","재단법인 경주시장학회","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2000000원","과학 문화 예술/ 기능 분야에 뛰어난 재능을 발휘하여 최근 1년 이내 도 단위 이상 규모 대회에서 3위 이내 수상(입상)한 자 (2021.08.24. ~ 공고일 현재 기준 수상실적에 한함)체육분야 장학생은 경주시 체육회장이 추천한 자","공고일 현재 1년이상 경주시 관내 거주자(부모 또는 자녀-대학생)","대회 입상 선발기준(공공기관 > 해당단체 > 기타)동점일 경우 입상횟수/ 생활정도(재산세) 순","총 27명 * 과학 문화 예술/ 기능 분야 18명 이내 * 체육분야 9명 이내","정규 학제 기간을 초과하여 재학 중인 자공고일 현재 휴학 중 또는 예정이거나/ 정학/ 퇴학 등 징계처분 받은 자1세대 1인 신청","총장(학장)이 추천한 자(학부장/ 학과장 추천은 해당안됨)체육분야 장학생 : 경주시 체육회장이 추천한 자","장학금 지원신청서개인(신용)정보 수집·이용·제공 및 조회 동의서재학증명서가족관계증명서주민등록초본재산세 (미)과세 증명서각종 대회 입상 관련자료 (학교장/ 총학장/ 경주시체육회장 확인) * 자세한 사항은 첨부파일 참조","http://janghak.gyeongju.go.kr","2022-09-13","2022-09-27"
"684","(재)충주시장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 신입생 : 수학능력 점수를 기준으로 상위득점자 * 재학생 : 직전학년 1/2학기 성적이 평균 3.5 학점 이상인 자로서 타 장학금을 받지 않은자","해당없음","일반대학생: 3000000원전문대학생: 2500000원","해당없음","관내 고등학교 졸업후 부모가 충주시 관내거주자로서 대학교(2년제포함)에 재학중인 학생 * 고등학교가 관내가 아닌 특목고교등일 경우 관내 중학교 출신도 가능","첨부파일 참조","60명","2021년도 본 장학회 장학금 수혜자충북인재양성재단 선정자(당해)사이버대학생해외 학교 재학중 및 교환학생휴학생 및 2022년 2학기 휴학예정자. 대학원생국적이 외국인 학생한국방송통신대학생/ 만학도육사/ 해사/ 공사/ 경찰대등에 재학중인 전액 국비지원을 받는자","해당학교 총장 또는 단과(학부)대학장의 추천서(직인)","장학생 추천서 (개인정보 수집·이용 동의서 포함)성적증명서 1부 (2·3·4학년 재학생)수학능력성적증명서 1부(1학년 신입생)재학증명서 1부장학금수혜증명서 (학교/한국장학재단) : 2020. 2학기 ~ 2021. 1학기 포함 1부주민등록 등본 1부 (부모와 거주지 다를 시 가족관계증명서 첨부)건강보험 납부확인서(미납부자는 자격득실확인서 제출) : 2020년도 부/모 각1부기초생활수급자/ 보훈가족/ 장애인(1/2급)자는 해당증명서 1부(대상자에 한함) * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.chungju.go.kr","2022-04-04","2022-04-15"
"685","현대차 정몽구 재단","미래산업 인재 학부 장학생","민간(기업)","장학금","성적우수","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기","공학계열/자연계열","전체 학기 백분위 성적 90점 이상","가구 중위소득 150%이하 (한국장학재단 소득구간: 7구간 이하)","등록금 전액 및 학습지원비 1800000원(학기)국제 학술대회 장학금해외 진출 장학생 장학금온드림 글로벌 우수 장학금재단 장학생 네트워킹 프로그램","선발일 기준 대한민국 국적 보유자로서 재단 지정 대학 2/3학년 재학생 및 2023년 1학기 복학 예정자 (재단 지정 대학은 첨부파일 또는 홈페이지 참조)선발분야 : 지능정보 기술 / 바이오헬스 / 에너지신산업","해당없음","서류심사온라인 인적성 검사전공 면접인성 면접","해당없음","장학생 선발 이후 국가 장학금 및 타 기관의 학자금 대출 및 등록금 감면 형태의 모든 장학금 중복수혜 불가","해당없음","지원서/자기소개서가족관계증명서소득수준 심사 증빙서류성적증명서실적 증빙 자료 ＊자세한 사항은 첨부파일 참고","http://www.cmkfoundation-scholarship.org/","2023-03-27","2023-04-20"
"686","김제시청","대학생학자금대출이자","지자체","학자금","지역연고","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2016년 이후 한국장학재단에서 받은 등록금 대출금액2022년 상반기분 발생이자 ※ 취업후상환 및 일반상환 학자금 / 생활비 대출 제외","2016년부터 한국장학재단에서 취업후상환학자금 및 일반상환학자금 등록금을 대출받은 자","공고일 기준 현재 부모 또는 학생이 김제시에 주민등록이 되어 있는 재학 대학생","온라인 신청","해당없음","생활비 대출은 지원 불가다른 기관으로부터 학자금 대출이자 명목으로 장학금 또는 학자금 이자 전액을 지원받는 경우고등교육기관에서 제적된 경우지원 대학생이 대학교를 졸업한 경우대학원생/ 외국대학 재학생","해당없음","대학생 학자금 대출이자 지원신청서부모 또는 본인 주민등록 등본 또는 초본가족관계증명서개인정보 수집/ 이용 및 제3자 제공 조회 동의서 * 등/초본 제출시 주민등록번호 뒷자리는 보이지 않게 반드시 지우고 첨부 * 자세한 사항은 첨부자료 참고","http://www.gimje.go.kr","2022-05-23","2022-06-22"
"687","강북구청","복지장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음"," * 기초수급자 법정차상위계층 일반 저소득층의 자녀국민기초생활 보장 수급자법정차상위계층 : 법정 한부모가족 포함일반저소득층 : 가구 총 재산 5억원 이하이면서 기준중위소득 120%이하","2000000원 (연 2회 분할지급)"," * 공고일을 기준으로 강북구 관내에 계속하여 1년 이상 주민등록 주소지를 두고 있는 주민의 자녀로서 지원자격을 갖춘 자전국 소재 2년제 이상 대학 재학생학기당 본인 부담 등록금 100만원 이상인 자","부/ 모/ 신청 학생 중 1명이 공고일을 기준으로 강북구 관내에 계속하여 1년 이상 주민등록 주소지를 두고 있어야 함","소득재산(50점)/ 성적(30점)/ 거주기간(10점)/ 가족 수(6점)/ 자녀 수(4점)","21명","휴학/ 제적/ 자퇴/ 졸업 등 학기 미동록자 지원 불가정규학기를 초과하여 등록하는 자 지원 불가 * 자세한 사항 첨부파일 참조","해당없음","장학생 신청서재학증명서주민등록등본주민등록초본개인정보 수집·이용 및 제3자 제공 동의서[수급자/ 법정차상위계층] 해당 증명서[일반 저소득층] 재산소득증빙서류[재학생] 직전 학기 성적증명서[입학생] 고등학교 3학년 2학기 성적증명서학생통장사본[3인 이상 다자녀] 가족관계증명서 * 자세한 사항은 홈페이지새소식선발 공고 참고","http://www.gangbuk.go.kr","2022-05-19","2022-06-10"
"688","(재)논공효천장학회","대학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생 : 직전학기 성적이 C학점 이상 또는 총점의 70% 이상대학교 입학생 : 고등학교 최종학기 성적이 총점의 70% 이상 또는 전 학년 석차의 50% 이내이며/ 대학수학능력시험에 응시했을 경우 수학능력시험 점수가 5등급 이내 ","경제적 이유로 수학이 곤란한 자","대학교(4년제) : 3000000원대학교(2~3년제) : 2000000원","2년제 이상 대학생 및 대학입학예정자","달성군 농공읍에 주소를 3년 이상 계속 두고 거주하고 있거나/ 농공읍에 등록기준지를 두고 있는 읍민 또는 그의 자녀","해당없음","총 4명","해당없음","해당없음","공고문 안내 확인 ","http://dalseong.deagu.kr","2023-02-01","2023-02-28"
"689","(재)논공효천장학회","예/체능특기자","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","대학교(4년제) : 3000000원대학교(2~3년제) : 2000000원","2년제 이상 대학생 및 대학입학예정자시도단위 대회에서 우승자나 전국 대회에서의 3위 이내의 입상자 또는 국가대표선수로 선발된 실적이 있는자","선발 공고일 현재 대구시 달성군 논공읍에 등록기준지를 3년 이상 두고 있는 자 또는 논공읍에 주소를 3년 이상 계속 두고 있는 읍민과 그의 자녀","해당없음","7명 내 선발 ","해당없음","해당없음","공고문 안내 확인 ","http://dalseong.deagu.kr","2023-02-01","2023-02-28"
"690","(재)한국고등교육재단","해외유학장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)/일반대학원/해외대학","대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/사회계열/자연계열","해당없음","해당없음","유학후보장학금 지급재단에서 운영하는 다양한 연수 프로그램 교육비 전액 지원재단이 지원하는 해외대학에 한해 재증보증서 지원해외유학 혹은 중국유학장학생으로 전환기회 부여","대한민국 국적 보유자(영주권자/ 이중국적자 지원 가능)국내외 4년제 대학 기 졸업자 및 졸업예정자국내외 대학원 재학생 및 기 졸업자2024년 9월 박사과정 입학 희망자재단 선발전형 일정 전체 참석 가능한 자선발된 후 1년간 재단 필수 연수 참여가 가능한 자선발분야: 사회·자연과학/인문/정보통신","해당없음","(1차) 서류심사(2차) 선발시험(3차) 면접평가","해당없음","재단 장학상품 선발전형 중/ 부정행위로 시험자격이 정지 또는 무효로 된 날로부터 5년이 지나지 않은 사람해외여행에 결격사유가 있는 사람재단 해외유학후보 기 수혜자국가장학금 및 국내 타 장학재단으로부터 장학금 수혜를 받는 자","지도교수 추천서 제출 필수","온라인지원서학업계획서전학년 성적증명서영문CV공인어학성적표인문 및 사회과학분야 Writing sample선택제출서류 * 홈페이지 온라인 접수로/ 자세한 사항은 홈페이지 참조","http://www.kfas.or.kr/News/","2023-07-06","2023-07-21"
"691","(재)한국고등교육재단","중국유학장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)/일반대학원","대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","사회계열/인문계열","해당없음","해당없음","유학후보장학금 지급재단에서 운영하는 다양한 연수프로그램 교육비 전액 지원재단이 지원하는 해외대학에 한해 재정보증서 지원중국유학 장학생으로 전환 기회 부여중국유학 장학생으로 전환 시 최대 5년간 유학 장학금 지원 ","대한민국 국적보유자(영주권자/ 이중국적자 지원 가능)국내외 4년제 대학 기 졸업자 및 졸업예정자국내외 대학원 재학생 및 기 졸업자2024년 9월 박사과정 입학 희망자재단 선발전형 일정 전체 참석 가능한 자선발된 후 1년간 재단 필수 연수 참여 가능한 자선발분야: 사회과학/ 인문 ","해당없음","(1차) 서류심사(2차) 필기시험(3차) 면접평가","해당없음","재단 장학상품 선발전형 중/ 부정행위로 시험자격이 정지 또는 무효로 된 날로부터 5년이 지나지 않은 사람해외여행에 결격사유가 있는 사람재단 해외유학후보 기 수혜자국가장학금 및 국내 타 장학재단으로부터 장학금 수혜를 받는 자","지도교수의 추천서 제출 필수","온라인지원서학업계획서전학년 성적증명서영문CV공인어학성적표인문 및 사회과학분야 Writing sample선택제출서류 * 홈페이지 온라인 접수로/ 자세한 사항은 홈페이지 참조","http://www.kfas.or.kr","2023-07-06","2023-07-21"
"692","(재)관정이종환교육재단","학부장학생","민간(기업)","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학신입생","공학계열/사회계열/의약계열/인문계열/자연계열","학부 누계평점이 4.0(4.5만점)/3.8(4.3만점) 이상인 자","해당없음","학기당 6000000원(총 4학기 지원) * 조기 졸업 시는 졸업학기까지 지급 * 자세한 사항은 홈페이지 참고","제 1학기에 5학기 진학을 예정한 자만 24세 이하타장학금을 수혜하지 않는자대한민국 국적자로서/ 대한민국에서 고등학교를 졸업한 자(단/ 주재원파견 등 학부모 국외근무로 부득이 국외에서 고등학교 과정을 수학한 경우와 검정고시 합격자는 지원가능. 영주권자 및 복수국적자는 지원불가) * 자세한 사항은 홈페이지 참고","해당없음","재단에서 서류 전형 면접 심사 및 확정","계열별 비율은 자연이공계열 80%/ 인문사회계열(예능포함)20%","편입생은 지원대상에서 제외","대학 총장 추천","지원서 원본 1부 및 사본 2부자기소개서 1부지도교수 추천서 1부학업관련 증빙서류어학능력증명서 사본각종활동 및 자격에 대한 증빙서류주민등록 등본가족관계증명서개인정보 수집/이용 동의서 **각 대학에서 서류 취합 후 우편 송부","https://www.ikef.or.kr/","2023-11-14","2023-11-30"
"693","(재)관정이종환교육재단","대학원장학생","민간(기업)","장학금","성적우수","일반대학원","박사과정/석사신입생(1학기)","공학계열/사회계열/의약계열/인문계열/자연계열"," * 前과정 평균평점이 4.0(4.5만점) 이상인 자석사 및 석박통합과정 진학자 : 학부과정박사과정 진학자 : 학부과정 및 석사과정","해당없음","6000000원/ 최대 4학기 ","대한민국 국적 보유자로서 대한민국에서 고등학교를 졸업한 자재단이 지원하는 대학 총장의 추천을 받은 자1학기에 일반대학원 석사/ 석박사/ 박사과정에 입학 하는 자자연/이공계열/ 인문/사회계열 * 자세한 사항은 홈페이지 참고","해당없음","1차 서류/ 2차 면접","자연이공계열 80%/ 인문사회계열 20%","일반대학원 이외의 대학원(MBA 과정/ 전문대학원/ 특수대학원/ 기타대학원등)은 지원대상에서 제외파트타임 과정/ 야간과정지원대상에서 제외석사·석박사통합과정 진학자 : 만 30세 초과박사과정 진학자: 만 32세 초과","대학 총장 추천","지원서(지원서 원본 1부 및 사본 2부)-서식은 재단 홈페이지 참고자기소개서 1부-서식은 재단 홈페이지 참고 (A4 2~3매 분량/ 폰트 바탕/크기 11/ 줄 간격 160%)지도교수 추천서 1부-서식은 재단 홈페이지 참고고등학교 전과정 학교생활세부사항 기록부 사본 1부학부과정(전학년) 및 석사과정 성적증명서 원본 1부학부과정 및 석사과정 졸업증명서 원본 *검정고시 합격자의 경우 합격증 사본/ 그 전까지의 고교성적/검정고시 과정을 택하게 된 사유서어학능력증명서 사본 1부각종 활동 및 자격에 대한 증빙서류 각 1부(장학금수혜내역/ 수학능력/자격사항/ 교내외각종활동/수상내역 등)주민등록 등본 1부가족관계증명서 1부개인정보 수집 이용동의서 1부(재단 홈페이지 참고) * 상세사항은 홈페이지 참고","https://www.ikef.or.kr","2023-11-14","2024-03-15"
"694","(재)관정이종환교육재단","국외유학장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","나라 과정별 상이* 자세한 내용은 첨부파일 확인 필수","유학대상국 : 미국/ 중국/ 일본/ 싱가폴/ 홍콩/ 영국/ 독일/ 프랑스/ 이탈리아/ 호주/ 캐나다/ 러시아/ 스위스/ 네덜란드 등 총 17개국「국외유학장학생선발규정시행규칙」우수대학/ 우수전공에 해당하는 자 (*첨부파일 참조)공학/ 어학/ 인문사회 및 예체능 계열 학생 * 자세한 사항은 첨부파일 참조","대한민국 국적 보유자로서 대한민국에서 고등학교를 졸업한 자 (* 영주권자/ 이중국적자 지원불가) (* 단/ 주재원파견 등 학부모 국외근무로 부득이 국외에서고등학교 과정을 수학한 경우 예외) ","온라인 지원접수 후 합격자 서류심사전문심사면접전형","이공계 80%/ 인문사회 및 예체능 계열 20%그 중 학부는 10%/ 석사 20%/ (석)박사 70% 비율로 선발","MBA/ JD/ LLM/ MD/ DNP/ PHARM.D 과정 제외국비장학금 및 기타장학재단 장학금 이중수혜 금지영주권자/ 이중국적자 지원불가","지도교수 추천서(부득이한 경우 지도교수 외의 추천서 제출가능/ 다만 지원자가 대체추천 사유서를 제출하여야 함)","고등학교 성적증명서/ 대학 및 대학원성적증명서 원본어학능력증명서 (공고일 기준 2년 내 공인성적)수학능력증명서사본(영어권국가에한함) * 자세한 사항은 홈페이지 참고 * 1차 온라인 지원 합격자에 한해 추가서류 제출 안내","http://www.ikef.or.kr/","2023-04-19","2023-04-27"
"695","포스코청암재단","포스코비전장학","민간(기업)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","3.0/4.5 이상","소득5분위 이내","대학생: 연간 5000000원 의 학비보조금을 최대 7학기까지 지급 ","포항/광양지역 다문화가정 자녀/ 북한이탈주민자녀/ 한부모가정/ 조손가정 우대","포항/ 광양 지역가정 또는 소재 고등학교 졸업자로서 2023년 대학 신입생","재단 홈페이지 온라인 신청 후 재단에서 서류심사와 면접을 거쳐 선발","50명 내외","다음학기 휴학예정자 지원불가","해당없음","자기소개서가족관계증명서수급자/ 차상위/ 한부모가정 등 해당자 증명서출신 고등학교 생활기록부대학 성적증명서(1학년 1학기)","http://www.postf.org/","2023-06-15","2023-07-16"
"696","포스코청암재단","포스코사이언스펠로십","민간(기업)","장학금","기타","4년제(5~6년제포함)/일반대학원/해외대학","대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/자연계열","해당없음","해당없음"," * 신진교수 펠로십인당 매년 5천만원의 펠로십을 2년간 지원"," * 학문분야수학/ 물리학/ 화학/ 생명과학 분야(4개 기초과학 분야)금속/ 신소재/ 에너지소재(2개 응용과학 분야)선발 공고일 기준 임용 36개월 이내의 국내대학 신진교수 또는 1년 이내 국내 대학 신진교수로 임용 예정자 * 자세한 사항은 홈페이지 공고문 참조","해당없음","전문위원회 서류심사과학자 평가의견서 요청선발위원회 면접심사","신진교수 펠로 : 20명 내외"," * 자세한 사항은 해당 기관으로 문의","해당없음","신진교수 펠로 지원자 · 신청서 및 연구계획서 · 논문실적 표지모음 · 대표논문 3편 * 포스코청암재단 홈페이지 온라인 지원서 제출 * 자세한 사항은 홈페이지 참고","http://www.postf.org/ko/main.do","2023-04-03","2023-06-30"
